idcontinent,namecontinent,idregion,nameregion,idcountry,nom
6,Oceania,2,Australia and New Zealand,NFK,Norfolk Island                                      
5,North America,5,Caribbean,ABW,Aruba                                               
3,Asia,22,Southern and Central Asia,AFG,Afghanistan                                         
1,Africa,6,Central Africa,AGO,Angola                                              
5,North America,5,Caribbean,AIA,Anguilla                                            
4,Europe,23,Southern Europe,ALB,Albania                                             
4,Europe,23,Southern Europe,AND,Andorra                                             
5,North America,5,Caribbean,ANT,Netherlands Antilles                                
3,Asia,14,Middle East,ARE,United Arab Emirates                                
7,South America,19,South America,ARG,Argentina                                           
3,Asia,14,Middle East,ARM,Armenia                                             
6,Oceania,18,Polynesia,ASM,American Samoa                                      
2,Antarctica,1,Antarctica,ATA,Antarctica                                          
2,Antarctica,1,Antarctica,ATF,French Southern territories                         
5,North America,5,Caribbean,ATG,Antigua and Barbuda                                 
6,Oceania,2,Australia and New Zealand,AUS,Australia                                           
4,Europe,25,Western Europe,AUT,Austria                                             
3,Asia,14,Middle East,AZE,Azerbaijan                                          
1,Africa,8,Eastern Africa,BDI,Burundi                                             
4,Europe,25,Western Europe,BEL,Belgium                                             
1,Africa,24,Western Africa,BEN,Benin                                               
1,Africa,24,Western Africa,BFA,Burkina Faso                                        
3,Asia,22,Southern and Central Asia,BGD,Bangladesh                                          
4,Europe,10,Eastern Europe,BGR,Bulgaria                                            
3,Asia,14,Middle East,BHR,Bahrain                                             
5,North America,5,Caribbean,BHS,Bahamas                                             
4,Europe,23,Southern Europe,BIH,Bosnia and Herzegovina                              
4,Europe,10,Eastern Europe,BLR,Belarus                                             
5,North America,7,Central America,BLZ,Belize                                              
5,North America,16,North America,BMU,Bermuda                                             
7,South America,19,South America,BOL,Bolivia                                             
7,South America,19,South America,BRA,Brazil                                              
5,North America,5,Caribbean,BRB,Barbados                                            
3,Asia,20,Southeast Asia,BRN,Brunei                                              
3,Asia,22,Southern and Central Asia,BTN,Bhutan                                              
2,Antarctica,1,Antarctica,BVT,Bouvet Island                                       
1,Africa,21,Southern Africa,BWA,Botswana                                            
1,Africa,6,Central Africa,CAF,Central African Republic                            
5,North America,16,North America,CAN,Canada                                              
6,Oceania,2,Australia and New Zealand,CCK,Cocos (Keeling) Islands                             
4,Europe,25,Western Europe,CHE,Switzerland                                         
7,South America,19,South America,CHL,Chile                                               
3,Asia,9,Eastern Asia,CHN,China                                               
1,Africa,24,Western Africa,CIV,Côte d’Ivoire                                       
1,Africa,6,Central Africa,CMR,Cameroon                                            
1,Africa,6,Central Africa,COD,"Congo, The Democratic Republic of the               "
1,Africa,6,Central Africa,COG,Congo                                               
6,Oceania,18,Polynesia,COK,Cook Islands                                        
7,South America,19,South America,COL,Colombia                                            
1,Africa,8,Eastern Africa,COM,Comoros                                             
1,Africa,24,Western Africa,CPV,Cape Verde                                          
5,North America,7,Central America,CRI,Costa Rica                                          
5,North America,5,Caribbean,CUB,Cuba                                                
6,Oceania,2,Australia and New Zealand,CXR,Christmas Island                                    
5,North America,5,Caribbean,CYM,Cayman Islands                                      
3,Asia,14,Middle East,CYP,Cyprus                                              
4,Europe,10,Eastern Europe,CZE,Czech Republic                                      
4,Europe,25,Western Europe,DEU,Germany                                             
1,Africa,8,Eastern Africa,DJI,Djibouti                                            
5,North America,5,Caribbean,DMA,Dominica                                            
4,Europe,15,Nordic Countries,DNK,Denmark                                             
